name	url	our_price	ingredients	packaging_type	food_texture	lifestage	brand	food_form	special_diet	restricted_availability	moisture_warning	%_calories_carbohydrate	%_calories_min_protein	%_calories_min_fat	price_per_kcal	price_per_month
Hill's Prescription Diet k/d Kidney Care Vegetable & Tuna Stew Canned Cat Food, 2.9-oz, case of 24	https://www.chewy.com/hills-prescription-diet-kd-kidney/dp/110402	42.99	Water, Pork Liver, Carrots, Tuna, Chicken, Rice, Rice Starch, Spinach, Chicken Fat, Pea Protein, Chicken Liver Flavor, Sunflower Oil, Powdered Cellulose, Fish Oil, Potassium Alginate, Coconut Oil, L-Threonine, Egg Whites, Calcium Lactate, Calcium Gluconate, Natural Flavor, Guar Gum, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Ascorbic Acid (source of Vitamin C), Niacin Supplement, Menadione Sodium Bisulfite Complex (source of Vitamin K), Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin A Supplement, Vitamin B12 Supplement, Riboflavin Supplement, Folic Acid, Biotin, Vitamin D3 Supplement), Potassium Citrate, Choline Chloride, Taurine, L-Arginine, Calcium Chloride, Dicalcium Phosphate, L-Carnitine, minerals (Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Manganous Oxide, Calcium Iodate), Sodium Tripolyphosphate, Beta-Carotene, Calcium Carbonate.	can	stew	adult	hill's	wet food	veterinary diet		% moisture max estimated	58.90485521445677	13.33551055954714	27.759634225996088	0.023262987012987013	139.57792207792207
Fancy Feast Classic Tender Beef Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-tender-beef-feast/dp/103912	15.36	Beef, Meat Broth, Liver, Fish, Meat By-Products, Artificial And Natural Flavors, Guar Gum, Tricalcium Phosphate, Salt, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Taurine, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement], Sodium Nitrite (To Promote Color Retention).	can	pate	adult	purina	wet food	grain-free pea-free			8.603844941695566	48.53450992751338	42.86164513079104	0.006956521739130434	41.73913043478261
Fancy Feast Classic Tender Liver & Chicken Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-tender-liver/dp/103904	16.8	Chicken Broth, Liver, Meat By-Products, Chicken, Fish, Artificial and Natural Flavors, Tricalcium Phosphate, Guar Gum, Minerals [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Salt, Taurine, Vitamins [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement]. D-6680.	can	pate	adult	purina	wet food	grain-free pea-free			8.093685146753641	41.50607767565964	50.4002371775867	0.007216494845360825	43.29896907216495
Hill's Prescription Diet c/d Multicare Urinary Care Chicken & Vegetable Stew Canned Cat Food, 2.9-oz, case of 24	https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/108315	39.99	Water, Pork Liver, Chicken, Carrots, Wheat Gluten, Rice, Corn Starch, Spinach, Chicken Liver Flavor, Chicken Fat, Potassium Alginate, Fish Oil, Soybean Oil, Calcium Chloride, Dicalcium Phosphate, Guar Gum, Calcium Sulfate, Taurine, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Niacin Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Vitamin D3 Supplement, Folic Acid), Potassium Citrate, Iodized Salt, Choline Chloride, Sodium Tripolyphosphate, minerals (Zinc Oxide, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate), Beta-Carotene, Calcium Carbonate.	can	stew	adult	hill's	wet food	pea-free veterinary diet		% moisture max estimated	53.6986301369863	23.013698630136986	23.28767123287671	0.02414855072463768	144.8913043478261
Friskies Indoor Delights Dry Cat Food, 16-lb bag	https://www.chewy.com/friskies-indoor-delights-dry-cat-food/dp/104282	9.83	Ground Yellow Corn, Corn Gluten Meal, Chicken By-Product Meal, Soybean Meal, Beef Tallow Preserved With Mixed-Tocopherols, Powdered Cellulose, Soybean Hulls, Liver Flavor, Meat And Bone Meal, Calcium Carbonate, Phosphoric Acid, Salmon Meal, Salt, Natural Flavor, Choline Chloride, Dried Cheese Powder, Parsley Flakes, Potassium Chloride, Taurine, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Vitamin E Supplement, Yellow 6, L-Tryptophan, Yellow 5, Red 40, Blue 2. H600218.			adult	purina	dry food	indoor pea-free			41.99077125906393	33.55905794930185	24.450170791634203	0.0004022259130047506	2.413355478028504
American Journey Turkey & Chicken Recipe Grain-Free Dry Cat Food, 12-lb bag	https://www.chewy.com/american-journey-turkey-chicken/dp/158630	29.99	Deboned Turkey, Turkey Meal, Chicken Meal, Tapioca Starch, Dried Egg Product, Pea Protein, Peas, Deboned Chicken, Natural Flavor, Menhaden Fish Meal, Chicken Fat (Preserved with Mixed Tocopherols), Flaxseed, Pea Fiber, Choline Chloride, Potassium Chloride, Inulin, DL-Methionine, Taurine, Salt, Spinach, Apples, Blueberries, Carrots, Cranberries, Pumpkin, Mixed Tocopherols (Preservative), Ferrous Sulfate, Zinc Proteinate, Zinc Sulfate, Vitamin E Supplement, Iron Proteinate, Niacin Supplement, Copper Sulfate, Sodium Selenite, Copper Proteinate, Vitamin A Supplement, Thiamine Mononitrate, L-Carnitine, Manganese Sulfate, Manganese Proteinate, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Calcium Iodate, Vitamin D3 Supplement, Rosemary Extract, Yeast Culture, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Aspergillus Niger Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract.			adult	chewy exclusives	dry food	grain-free no corn no wheat no soy high-protein			27.257004402650832	38.07110049954723	34.67189509780194	0.0015015429155313352	9.009257493188013
Cat Chow Naturals Original Dry Cat Food, 13-lb bag	https://www.chewy.com/cat-chow-naturals-original-dry-cat/dp/127682	14.99	Chicken, Corn Gluten Meal, Chicken By-Product Meal, Rice, Soybean Meal, Ground Yellow Corn, Ground Whole Wheat, Beef Tallow Naturally Preserved With Mixed-Tocopherols, Natural Liver Flavor, Salmon, Phosphoric Acid, Calcium Carbonate, Natural Flavor, Salt, Choline Chloride, Dried Spinach, Taurine, Potassium Chloride, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite]. G452118.			adult	purina kitten chow	dry food	high-protein pea-free indoor			34.45572548515615	33.985920118807925	31.55835439603593	0.0006798220896750309	4.078932538050186
Meow Mix Tender Centers Salmon & White Meat Chicken Dry Cat Food, 13.5-lb bag	https://www.chewy.com/meow-mix-tender-centers-salmon-white/dp/127518	11.88	Whole Ground Corn, Chicken By-Product Meal, Corn Gluten Meal, Soybean Meal, Whole Wheat, Animal Fat (Preserved with Mixed Tocopherols), Animal Digest, Corn Syrup, Glycerin, Phosphoric Acid, Calcium Carbonate, Salmon Meal, Titanium Dioxide (Color), Salt, Calcium Sulfate, Potassium Sorbate (Used As A Preservative), Potassium Chloride, Choline Chloride, L-Lysine, Vitamins (Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Dicalcium Phosphate, Carrageenan, Yellow 6, Taurine, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Yellow 5, Red 40, Natural White Meat Chicken Flavor, Dl-Methionine, BHA (Used As A Preservative), Rosemary Extract, Celery Extract.			adult		dry food				40.29409591369246	32.06975541269489	27.63614867361265	0.0005496883852691218	3.2981303116147314
Iams ProActive Health Indoor Weight & Hairball Care Dry Cat Food, 16-lb bag	https://www.chewy.com/iams-proactive-health-indoor-weight/dp/121262	23.84	Chicken, Chicken By-Product Meal, Corn Grits, Corn Gluten Meal, Ground Whole Grain Corn, Ground Whole Grain Sorghum, Dried Plain Beet Pulp, Turkey, Powdered Cellulose, Natural Flavor, Brewers Dried Yeast, Dried Egg Product, Caramel Color, Potassium Chloride, Sodium Bisulfate, Choline Chloride, Fish Oil (Preserved with Mixed Tocopherols), Calcium Carbonate, Fructooligosaccharides, Vitamins [Vitamin E Supplement, Niacin, Ascorbic Acid, Vitamin A Acetate, Calcium Pantothenate, Biotin, Thiamine Mononitrate (Source of Vitamin B1), Pyridoxine Hydrochloride (Source of Vitamin B6), Vitamin B12 Supplement, Riboflavin Supplement (Source of Vitamin B2), Vitamin D3 Supplement, Folic Acid], Taurine, Minerals [Zinc Oxide, Manganese Sulfate, Copper Sulfate, Potassium Iodide], Mixed Tocopherols and Citric Acid (Preservatives), L-Carnitine, Rosemary Extract.			adult		dry food	indoor weight control			36.53374614076078	30.32517249246925	33.14108136676997	0.0009766498216409038	5.859898929845422
Hill's Prescription Diet c/d Multicare Urinary Care with Chicken Canned Cat Food, 5.5-oz, case of 24	https://www.chewy.com/hills-prescription-diet-cd-multicare/dp/54783	54.99	Pork By-Products, Water, Pork Liver, Chicken, Brewers Rice, Corn Starch, Soybean Meal, Chicken Liver Flavor, Chicken Fat, Fish Oil, Calcium Sulfate, Guar Gum, Brewers Dried Yeast, Dicalcium Phosphate, DL-Methionine, Calcium Carbonate, Choline Chloride, vitamins (Vitamin E Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Niacin Supplement, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Folic Acid, Vitamin D3 Supplement), Taurine, Iodized Salt, Potassium Citrate, Potassium Chloride, L-Lysine, minerals (Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Calcium Iodate), Beta-Carotene.	can	pate	adult	hill's	wet food	pea-free veterinary diet		% moisture max estimated	38.18181818181819	30.909090909090907	30.909090909090907	0.014056748466257669	84.34049079754601
